Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-10-19,,,,,0.95502,2.7188,5.826,5.72329,13.21011,8.76039,5.52373,16.78544,18.89014,22.8157,23.03256,20.46625,31.13234,34.67564,22.85159,16.92314,12.00009,1.704,,
2019-10-20,5.4012,5.4012,2.34052,,,,,,8.11141,12.24984,15.42186,13.78924,11.43654,12.31586,9.23699,9.00606,5.53655,6.01,9.49807,5.35833,5.31118,5.4012,5.4012,5.4012
2019-10-21,6.0888,6.0888,6.0888,6.0888,6.0888,7.593,4.12468,3.0084,13.12335,26.77153,35.60309,36.54685,32.96655,24.10398,18.17704,25.74415,20.24594,17.42269,10.64535,1.12805,,4.76956,6.0888,6.0888
2019-10-22,4.7658,3.25663,,,,,2.67916,10.30884,18.17486,18.25841,18.30948,17.9294,21.99052,25.57449,21.18116,13.99028,12.89869,5.33712,25.50614,16.79584,21.64947,10.74392,10.5744,4.86261
2019-10-23,,,,,,1.46392,3.0288,5.60882,13.37293,24.81535,30.69016,30.74046,30.40129,35.74135,22.08116,31.672,29.18922,38.19501,27.3558,17.25326,14.78356,3.28384,,
2019-10-24,,,,,,,1.8537,3.49368,10.72109,28.0935,18.38884,21.5443,12.67938,7.80356,14.05045,17.78507,23.14589,27.34314,26.33198,34.63879,23.52082,5.57319,,
2019-10-25,3.1293,,,,,,,1.08892,16.75551,32.60211,35.58122,35.63004,26.58334,21.19462,9.12584,5.07623,8.27509,9.74402,9.55698,13.0041,14.41738,9.64402,6.42098,6.22548
2019-10-26,,,,,,,,3.9083,14.17569,27.74858,36.10708,27.79592,17.56586,13.47035,29.6144,9.42985,7.58376,14.05772,16.22057,13.33416,12.27144,5.295,4.1232,1.23696
2019-10-27,1.652,,,,,,,,0.66105,7.12348,9.19761,8.34336,8.12514,6.2526,6.2526,9.69572,19.43908,16.68832,9.93551,15.47986,8.80569,6.195,6.195,6.195
2019-10-28,2.86938,,,,,0.43696,1.5336,3.99874,6.2844,2.80604,13.23208,15.29172,28.45324,25.28747,22.10049,15.2316,15.07274,22.43502,10.08262,9.213,3.82536,1.10752,3.0204,3.0204
2019-10-29,,,,,,,6.54224,11.12973,6.07023,9.3096,15.94787,12.95585,9.31926,9.4254,5.53564,,,,,2.85264,6.1128,1.63008,,
2019-10-30,3.0168,1.96092,,,,,,,2.28624,4.8115,16.64189,30.48096,36.92183,28.75341,16.21684,8.9477,19.89148,13.73823,12.03953,13.8962,11.75039,7.90134,1.65924,3.0168
2019-10-31,,,,,,,,3.6666,14.54251,30.53848,30.33621,24.75144,23.99399,30.58858,27.04424,25.77756,30.40271,13.78875,9.96517,16.43682,8.91908,4.34723,,
2019-11-01,3.759,3.759,3.759,3.759,2.44335,1.69201,5.77601,8.47992,10.92967,52.56014,52.78115,40.9347,30.87922,26.29187,31.75344,47.08999,38.63843,36.25173,37.67281,27.58698,20.45822,8.05968,7.4466,4.55798
2019-11-02,4.18992,,,,,,,,2.46616,17.56562,22.11056,18.48842,12.39636,24.07065,31.77532,15.80148,6.85678,6.04829,11.55318,9.88143,5.99569,6.1296,0.5108,
2019-11-03,,,,,,,,,7.05677,16.97418,12.63127,8.97762,12.87915,25.8954,26.09066,20.19993,10.91034,12.2128,13.85699,8.28788,6.19584,3.4604,,
2019-11-04,10.3386,0.83317,,,,,6.86498,11.71847,29.50022,40.58876,37.40408,24.60908,23.10206,33.83272,24.43541,18.52291,26.16619,23.37582,12.58446,21.33833,15.7992,15.7992,15.7992,14.98011
2019-11-05,,,,,,1.0747,14.24265,13.56458,26.87713,40.28719,37.67713,37.75833,45.04784,33.48682,14.39349,7.00011,16.984,10.11755,11.74836,10.03701,1.84718,,,
2019-11-06,5.316,5.316,3.8098,,,1.45812,3.0168,6.80256,29.58328,45.74368,53.22409,42.36296,47.05686,33.18276,22.8504,20.6568,9.62422,14.45296,21.38652,16.53561,10.01724,6.42039,5.316,5.316
2019-11-07,,,,,,,1.67694,4.6154,8.8807,23.5532,35.08127,33.20725,23.51317,15.90506,16.69219,13.14293,18.40149,24.90624,34.81365,29.12194,19.91311,8.8262,6.2682,4.59668
2019-11-08,3.6648,1.58808,,,,3.67634,15.10468,6.07266,21.018,30.35112,40.76262,29.89785,37.372,26.00126,10.4545,14.22886,13.72849,24.9367,22.98857,30.33457,20.89236,16.26695,8.34993,3.6648
